datetime	theta25	theta45	theta75
2019-07-01T12:00:00Z	0.099	0.094	0.09
2019-07-01T12:15:00Z	0.096	0.094	0.093
2019-07-01T12:30:00Z	0.094	0.091	0.091
2019-07-01T12:45:00Z	0.094	0.096	NA
2019-07-01T13:00:00Z	0.094	0.095	NA
2019-07-01T13:15:00Z	0.093	0.097	0.094
2019-07-01T13:30:00Z	0.095	0.097	0.095
2019-07-01T13:45:00Z	0.096	0.089	0.087
2019-07-01T14:00:00Z	0.103	0.095	0.094
2019-07-01T14:15:00Z	0.097	0.096	0.086
2019-07-01T14:30:00Z	0.098	0.095	0.091
2019-07-01T14:45:00Z	0.092	0.097	0.092
2019-07-01T15:00:00Z	0.091	0.091	0.1
2019-07-01T15:15:00Z	0.095	0.09	0.089
2019-07-01T15:30:00Z	0.095	0.096	0.096
2019-07-01T15:45:00Z	0.093	0.087	0.088
2019-07-01T16:00:00Z	0.096	0.094	0.088
2019-07-01T16:15:00Z	0.091	0.091	0.087
2019-07-01T16:30:00Z	0.098	0.092	0.092
2019-07-01T16:45:00Z	0.095	0.091	0.093
2019-07-01T17:00:00Z	0.096	0.096	0.097
2019-07-01T17:15:00Z	0.098	0.09	0.091
2019-07-01T17:30:00Z	0.095	0.092	0.093
2019-07-01T17:45:00Z	0.094	0.093	0.09
2019-07-01T18:00:00Z	0.098	0.093	0.086
2019-07-01T18:15:00Z	0.095	0.094	0.092
2019-07-01T18:30:00Z	0.099	0.092	0.088
2019-07-01T18:45:00Z	0.098	0.088	0.097
2019-07-01T19:00:00Z	0.093	0.095	0.095
2019-07-01T19:15:00Z	0.096	0.095	0.091
2019-07-01T19:30:00Z	0.094	0.09	0.092
2019-07-01T19:45:00Z	0.096	0.09	0.099
2019-07-01T20:00:00Z	0.095	0.092	0.097
2019-07-01T20:15:00Z	0.097	0.091	0.089
2019-07-01T20:30:00Z	0.102	0.09	0.093
2019-07-01T20:45:00Z	0.095	0.095	0.092
2019-07-01T21:00:00Z	0.094	0.093	0.099
2019-07-01T21:15:00Z	0.099	0.095	0.088
2019-07-01T21:30:00Z	0.097	0.09	0.093
2019-07-01T21:45:00Z	0.098	0.091	0.092
2019-07-01T22:00:00Z	0.097	0.093	0.092
2019-07-01T22:15:00Z	0.097	0.092	0.097
2019-07-01T22:30:00Z	0.096	0.09	0.093
2019-07-01T22:45:00Z	0.093	0.094	0.09
2019-07-01T23:00:00Z	0.094	0.095	0.091
2019-07-01T23:15:00Z	0.097	0.091	0.086
2019-07-01T23:30:00Z	0.095	0.094	0.096
2019-07-01T23:45:00Z	0.096	0.094	0.096
2019-07-02T00:00:00Z	0.098	0.093	0.096
2019-07-02T00:15:00Z	0.094	0.092	0.092
2019-07-02T00:30:00Z	0.097	0.095	0.097
2019-07-02T00:45:00Z	0.097	0.095	0.094
2019-07-02T01:00:00Z	0.099	0.094	0.091
2019-07-02T01:15:00Z	0.099	0.093	0.091
2019-07-02T01:30:00Z	0.096	0.095	0.086
2019-07-02T01:45:00Z	0.096	0.093	0.089
2019-07-02T02:00:00Z	0.095	0.095	0.093
2019-07-02T02:15:00Z	0.095	0.093	0.091
2019-07-02T02:30:00Z	0.095	0.095	0.087
2019-07-02T02:45:00Z	0.094	0.093	0.092
2019-07-02T03:00:00Z	0.096	0.095	0.094
2019-07-02T03:15:00Z	0.094	0.095	0.089
2019-07-02T03:30:00Z	0.094	0.092	0.094
2019-07-02T03:45:00Z	0.098	0.091	0.094
2019-07-02T04:00:00Z	0.094	0.092	0.094
2019-07-02T04:15:00Z	0.094	0.093	0.093
2019-07-02T04:30:00Z	0.098	0.096	0.087
2019-07-02T04:45:00Z	0.095	0.093	0.091
2019-07-02T05:00:00Z	0.092	0.096	0.091
2019-07-02T05:15:00Z	0.093	0.092	0.093
2019-07-02T05:30:00Z	0.101	0.096	0.093
2019-07-02T05:45:00Z	0.096	0.095	0.069
2019-07-02T06:00:00Z	0.097	0.093	0.088
2019-07-02T06:15:00Z	0.097	0.09	0.088
2019-07-02T06:30:00Z	0.093	0.092	0.09
2019-07-02T06:45:00Z	0.097	0.092	0.092
2019-07-02T07:00:00Z	0.096	0.092	0.086
2019-07-02T07:15:00Z	0.096	0.091	0.092
2019-07-02T07:30:00Z	0.097	0.093	0.094
2019-07-02T07:45:00Z	0.095	0.093	0.085
2019-07-02T08:00:00Z	0.093	0.093	0.094
2019-07-02T08:15:00Z	0.1	0.09	0.089
2019-07-02T08:30:00Z	0.098	0.092	0.086
2019-07-02T08:45:00Z	0.095	0.091	0.094
2019-07-02T09:00:00Z	0.096	0.089	0.093
2019-07-02T09:15:00Z	0.092	0.095	0.096
2019-07-02T09:30:00Z	0.094	0.091	0.086
2019-07-02T09:45:00Z	0.092	0.087	0.1
2019-07-02T10:00:00Z	0.096	0.093	0.09
2019-07-02T10:15:00Z	0.094	0.096	0.093
2019-07-02T10:30:00Z	0.094	0.093	0.085
2019-07-02T10:45:00Z	0.093	0.088	0.095
2019-07-02T11:00:00Z	0.095	0.094	0.092
2019-07-02T11:15:00Z	0.092	0.088	0.096
2019-07-02T11:30:00Z	0.096	0.089	0.096
2019-07-02T11:45:00Z	0.095	0.094	0.092
2019-07-02T12:00:00Z	0.097	0.094	0.092
2019-07-02T12:15:00Z	0.101	0.09	0.092
2019-07-02T12:30:00Z	0.096	0.091	0.097
2019-07-02T12:45:00Z	0.101	0.091	NA
2019-07-02T13:00:00Z	0.091	0.094	0.099
2019-07-02T13:15:00Z	0.097	0.094	0.089
2019-07-02T13:30:00Z	0.098	0.09	0.083
2019-07-02T13:45:00Z	0.093	0.092	0.092
2019-07-02T14:00:00Z	0.091	0.091	0.098
2019-07-02T14:15:00Z	0.095	0.092	0.096
2019-07-02T14:30:00Z	0.095	0.093	NA
2019-07-02T14:45:00Z	0.094	0.09	0.095
2019-07-02T15:00:00Z	0.096	0.093	0.098
2019-07-02T15:15:00Z	0.097	0.087	0.095
2019-07-02T15:30:00Z	0.092	0.095	NA
2019-07-02T15:45:00Z	0.093	0.092	0.096
2019-07-02T16:00:00Z	0.097	0.093	0.095
2019-07-02T16:15:00Z	0.096	0.094	0.092
2019-07-02T16:30:00Z	0.097	0.089	0.091
2019-07-02T16:45:00Z	0.094	0.095	0.089
2019-07-02T17:00:00Z	0.094	0.091	NA
2019-07-02T17:15:00Z	0.092	0.092	0.09
2019-07-02T17:30:00Z	0.092	0.089	0.093
2019-07-02T17:45:00Z	0.1	0.093	0.086
2019-07-02T18:00:00Z	0.099	0.093	0.093
2019-07-02T18:15:00Z	0.093	0.091	0.091
2019-07-02T18:30:00Z	0.094	0.091	0.092
2019-07-02T18:45:00Z	0.092	0.092	0.091
2019-07-02T19:00:00Z	0.095	0.089	0.09
2019-07-02T19:15:00Z	0.094	0.092	0.093
2019-07-02T19:30:00Z	0.096	0.088	0.094
2019-07-02T19:45:00Z	0.093	0.089	0.095
2019-07-02T20:00:00Z	0.095	0.093	0.088
2019-07-02T20:15:00Z	0.094	0.094	0.091
2019-07-02T20:30:00Z	0.093	0.091	0.086
2019-07-02T20:45:00Z	0.091	0.091	0.091
2019-07-02T21:00:00Z	0.092	0.091	0.101
2019-07-02T21:15:00Z	0.093	0.092	0.09
2019-07-02T21:30:00Z	0.095	0.093	0.092
2019-07-02T21:45:00Z	0.092	0.095	0.086
2019-07-02T22:00:00Z	0.097	0.093	0.097
2019-07-02T22:15:00Z	0.097	0.09	0.097
2019-07-02T22:30:00Z	0.094	0.091	0.095
2019-07-02T22:45:00Z	0.094	0.094	0.095
2019-07-02T23:00:00Z	0.095	0.094	0.095
2019-07-02T23:15:00Z	0.097	0.093	0.094
2019-07-02T23:30:00Z	0.096	0.092	0.094
2019-07-02T23:45:00Z	0.095	0.093	0.097
2019-07-03T00:00:00Z	0.096	0.091	0.095
2019-07-03T00:15:00Z	0.097	0.094	0.099
2019-07-03T00:30:00Z	0.096	0.091	0.098
2019-07-03T00:45:00Z	0.094	0.09	0.089
2019-07-03T01:00:00Z	0.095	0.091	0.098
