datetime	theta10	theta20	theta30	theta40
2019-09-12T10:27:58Z	0.152	0.098	0.063	0.091
2019-09-12T10:28:05Z	0.152	0.099	0.063	0.091
2019-09-12T10:48:13Z	0.151	0.098	0.063	0.091
2019-09-12T11:08:20Z	0.151	0.099	0.063	0.091
2019-09-12T11:28:27Z	0.151	0.099	0.064	0.091
2019-09-12T11:48:34Z	0.151	0.099	0.063	0.091
2019-09-12T12:08:41Z	0.151	0.099	0.063	0.091
2019-09-12T12:28:49Z	0.151	0.099	0.063	0.091
2019-09-12T12:48:56Z	0.151	0.099	0.063	0.091
2019-09-12T13:09:03Z	0.15	0.099	0.063	0.091
2019-09-12T13:29:10Z	0.15	0.099	0.063	0.091
2019-09-12T13:49:18Z	0.149	0.099	0.063	0.091
2019-09-12T14:09:25Z	0.149	0.099	0.063	0.091
2019-09-12T14:29:33Z	0.147	0.1	0.064	0.091
2019-09-12T14:49:40Z	0.146	0.1	0.064	0.091
2019-09-12T15:09:47Z	0.144	0.1	0.064	0.091
2019-09-12T15:29:54Z	0.144	0.1	0.064	0.091
2019-09-12T15:50:02Z	0.142	0.1	0.064	0.091
2019-09-12T16:10:09Z	0.141	0.1	0.064	0.091
2019-09-12T16:30:16Z	0.139	0.1	0.064	0.091
2019-09-12T16:50:24Z	0.136	0.1	0.064	0.091
2019-09-12T17:10:31Z	0.136	0.1	0.064	0.091
2019-09-12T17:30:38Z	0.134	0.1	0.065	0.091
2019-09-12T17:50:45Z	0.133	0.1	0.065	0.091
2019-09-12T18:10:52Z	0.132	0.101	0.065	0.091
2019-09-12T18:31:00Z	0.131	0.101	0.065	0.091
2019-09-12T18:51:07Z	0.13	0.101	0.065	0.091
2019-09-12T19:11:14Z	0.129	0.102	0.065	0.091
2019-09-12T19:31:21Z	0.128	0.102	0.065	0.091
2019-09-12T19:51:28Z	0.127	0.102	0.065	0.091
2019-09-12T20:11:35Z	0.126	0.102	0.065	0.091
2019-09-12T20:31:43Z	0.125	0.103	0.065	0.091
2019-09-12T20:51:50Z	0.123	0.105	0.065	0.091
2019-09-12T21:11:57Z	0.123	0.105	0.065	0.091
2019-09-12T21:32:04Z	0.122	0.105	0.065	0.091
2019-09-12T21:52:11Z	0.122	0.105	0.066	0.091
2019-09-12T22:12:18Z	0.121	0.105	0.066	0.091
2019-09-12T22:32:25Z	0.121	0.105	0.066	0.091
2019-09-12T22:52:33Z	0.12	0.105	0.066	0.091
2019-09-12T23:12:40Z	0.12	0.105	0.066	0.091
2019-09-12T23:32:47Z	0.12	0.106	0.066	0.091
2019-09-12T23:52:54Z	0.119	0.105	0.066	0.091
2019-09-13T00:13:01Z	0.119	0.106	0.066	0.091
2019-09-13T00:33:08Z	0.119	0.106	0.066	0.091
2019-09-13T00:53:15Z	0.119	0.105	0.066	0.091
